title,writer,publication,callno,href
척추측만증을 위한 3차원적 운동치료 :척추기형을 위한 교정 방법,"Lehnert-Schroth, Christa","서울 :영문출판사,2010",616.73 L523d7이,https://library.cau.ac.kr/#/search/detail/5938373
놀이의 반란 :아이의 인생을 바꾸는 '놀이'의 숨은 비밀,EBS,"서울 :지식너머,2013(2014 5쇄)",372.21 이비에놀,https://library.cau.ac.kr/#/search/detail/5931958
빅데이터 승리의 과학 :빅데이터는 당신이 무엇을 선택할지 알고 있다,고한석,"서울 :이지스퍼블리싱,2013(2015 4쇄)",658.4038 고한석빅,https://library.cau.ac.kr/#/search/detail/5914052
수도권 메가트렌드 2030 =Mega trends 2013 in the Korean capital region,이상대,"파주 :한울,2013",338.951 이상대수,https://library.cau.ac.kr/#/search/detail/5909418
말하기 영작문 트레이닝 =Making English sentences for speaking :네이티브처럼 문장 만드는 35가지 법칙,장근섭,"파주 :다락원,2013(2015 6쇄)",428.24 장근섭말,https://library.cau.ac.kr/#/search/detail/5909351
장은옥의 플라워 브런치 =Flower brunch :감성을 자극하는 일상의 플로랄 디자인,장은옥,"의정부 :수풀미디어,2013",745.92 장은옥장,https://library.cau.ac.kr/#/search/detail/5870764
경계인들의 목소리 :시민과 디아스포라 사이,이선주,"서울 :그린비,2013",823.09 이선주경,https://library.cau.ac.kr/#/search/detail/5862789
과학의 미래 :버트런드 러셀의 미래를 위한 과학 철학,"Russell, Bertrand","파주 :열린책들,2011",500 R961s석,https://library.cau.ac.kr/#/search/detail/5862411
"포스트 스마트폰, 경계의 붕괴 :3년 후 IoT 전쟁, 모든 것이 on되는 세상이 온다",김지현,"고양 :위즈덤하우스,2013(2014 4쇄)",303.4833 김지현포,https://library.cau.ac.kr/#/search/detail/5844198
두려움 :행복을 방해하는 뇌의 나쁜 습관,"Pillay, Srinivasan S","서울 :웅진지식하우스 :웅진씽크빅,2011(2014 8쇄)",152.46 P641L김,https://library.cau.ac.kr/#/search/detail/5840558
"침묵과 사랑 :""난쏘공"" 30주년 기념문집",권성우,"서울 :이성과힘,2008",811.309 권성우침,https://library.cau.ac.kr/#/search/detail/5839870
미술사 방법론 :헤겔에서 포스트식민주의까지 미술사의 다양한 시각들,"Hatt, Michael","서울 :세미콜론,2012",701.18 H366a미,https://library.cau.ac.kr/#/search/detail/5816470
(그림으로 읽는)뇌과학의 모든 것 :뇌과학 전문가 박문호 박사의 통합 뇌과학 특강,박문호,"서울 :휴머니스트출판 :Humanist,2013",612.82 박문호뇌휴,https://library.cau.ac.kr/#/search/detail/5766393
